SNID,redshift,type,code,sample
6612.0,0.41613463,II_V19,42.0,train
7860.0,0.23487686,II-NMF,42.0,train
3421.0,0.14118282,II-NMF,42.0,train
3368.0,0.26212534,II-NMF,42.0,train
3200.0,0.47726378,II_V19,42.0,train
2478.0,0.5132554,II_V19,42.0,train
1640.0,0.20038009,IIn,42.0,train
6509.0,0.2553885,II_V19,42.0,train
2002.0,0.2602583,II_V19,42.0,train
5537.0,0.51714104,II_V19,42.0,train
8018.0,0.8645155000000001,IIn,42.0,train
1621.0,0.16775969,II-NMF,42.0,train
7553.0,0.3578453,II_V19,42.0,train
6172.0,0.10845345,II_V19,42.0,train
8653.0,0.36411217,II_V19,42.0,train
2980.0,0.13944991,II-NMF,42.0,train
8936.0,0.3466188,II-NMF,42.0,train
1396.0,0.55341154,II_V19,42.0,train
2246.0,0.6720795999999999,II_V19,42.0,train
3173.0,0.43911657,II-NMF,42.0,train
8965.0,0.5941784000000001,II_V19,42.0,train
4756.0,0.44583738,II-NMF,42.0,train
7879.0,0.40027592,II_V19,42.0,train
5919.0,0.3742328,II-NMF,42.0,train
2125.0,0.14987375,II-NMF,42.0,train
5303.0,0.7696586,II_V19,42.0,train
2563.0,0.16502148,II_V19,42.0,train
2681.0,0.51691496,II_V19,42.0,train
504.0,0.37622547,IIn,42.0,train
1996.0,0.22204284,II-NMF,42.0,train
1168.0,0.27848652,II-NMF,42.0,train
1864.0,0.42721456,II_V19,42.0,train
8877.0,0.68101054,II_V19,42.0,train
1620.0,0.8521851999999999,II_V19,42.0,train
6682.0,0.19366956,II-NMF,42.0,train
4962.0,0.26669183,II-NMF,42.0,train
3559.0,0.371623,II_V19,42.0,train
2266.0,0.13807602,IIn,42.0,train
1182.0,1.0849803999999998,IIn,42.0,train
5211.0,0.81887645,II_V19,42.0,train
5297.0,0.35835332,II_V19,42.0,train
5072.0,0.37293956,IIn,42.0,train
5505.0,0.24625418,II-NMF,42.0,train
6613.0,0.36056626,II-NMF,42.0,train
4718.0,0.25755006,II-NMF,42.0,train
